model,Precision,Recall,F1,F1 Micro AVG
GCN Convolution (tx),0.836,0.45,0.585,0.939
GCN Convolution (tx+agg),0.816,0.501,0.621,0.941
GAT Convolution (tx),0.82,0.669,0.737,0.955
GAT Convolution (tx+agg),0.825,0.733,0.776,0.96
SAGE Convolution (tx),0.947,0.765,0.846,0.974
SAGE Convolution (tx+agg),0.942,0.833,0.884,0.979
Chebyshev Convolution (tx),0.955,0.764,0.849,0.974
Chebyshev Convolution (tx+agg),0.958,0.859,0.905,0.983
GATv2 Convolution (tx),0.882,0.797,0.837,0.971
GATv2 Convolution (tx+agg),0.886,0.862,0.874,0.976
